chart_id,chart_title,label,scenario,metric,value,unit,delta_pct_vs_stock,source
05-dlss4-mfg-cyberpunk,DLSS 4 Multi-Frame Generation — Cyberpunk 4K Path Tracing,"DLSS-Q, no FG",Cyberpunk RT Overdrive 4K,fps,40,fps,,TechFuelHQ first-party
05-dlss4-mfg-cyberpunk,DLSS 4 Multi-Frame Generation — Cyberpunk 4K Path Tracing,"DLSS-Q, no FG",Cyberpunk RT Overdrive 4K,pc-latency,45,ms,,TechFuelHQ first-party
05-dlss4-mfg-cyberpunk,DLSS 4 Multi-Frame Generation — Cyberpunk 4K Path Tracing,MFG 2x,Cyberpunk RT Overdrive 4K,fps,90,fps,,TechFuelHQ first-party
05-dlss4-mfg-cyberpunk,DLSS 4 Multi-Frame Generation — Cyberpunk 4K Path Tracing,MFG 2x,Cyberpunk RT Overdrive 4K,pc-latency,55,ms,,TechFuelHQ first-party
05-dlss4-mfg-cyberpunk,DLSS 4 Multi-Frame Generation — Cyberpunk 4K Path Tracing,MFG 4x,Cyberpunk RT Overdrive 4K,fps,135,fps,,TechFuelHQ first-party
05-dlss4-mfg-cyberpunk,DLSS 4 Multi-Frame Generation — Cyberpunk 4K Path Tracing,MFG 4x,Cyberpunk RT Overdrive 4K,pc-latency,62,ms,,TechFuelHQ first-party
06-4k-gaming,4K Gaming — Avg FPS and 1% Lows,Cyberpunk Ultra (raster),4K native,avg-fps,58,fps,,TechFuelHQ first-party
06-4k-gaming,4K Gaming — Avg FPS and 1% Lows,Cyberpunk Ultra (raster),4K native,1pct-low-fps,49,fps,,TechFuelHQ first-party
06-4k-gaming,4K Gaming — Avg FPS and 1% Lows,Cyberpunk RT-Ultra + DLSS-Q,4K native,avg-fps,50,fps,,TechFuelHQ first-party
06-4k-gaming,4K Gaming — Avg FPS and 1% Lows,Cyberpunk RT-Ultra + DLSS-Q,4K native,1pct-low-fps,41,fps,,TechFuelHQ first-party
06-4k-gaming,4K Gaming — Avg FPS and 1% Lows,Cyberpunk Path Tracing (native),4K native,avg-fps,19,fps,,TechFuelHQ first-party
06-4k-gaming,4K Gaming — Avg FPS and 1% Lows,Cyberpunk Path Tracing (native),4K native,1pct-low-fps,15,fps,,TechFuelHQ first-party
06-4k-gaming,4K Gaming — Avg FPS and 1% Lows,Alan Wake 2 RT + DLSS-Q,4K native,avg-fps,49,fps,,TechFuelHQ first-party
06-4k-gaming,4K Gaming — Avg FPS and 1% Lows,Alan Wake 2 RT + DLSS-Q,4K native,1pct-low-fps,38,fps,,TechFuelHQ first-party
06-4k-gaming,4K Gaming — Avg FPS and 1% Lows,Black Myth: Wukong Cinematic,4K native,avg-fps,34,fps,,TechFuelHQ first-party
06-4k-gaming,4K Gaming — Avg FPS and 1% Lows,Black Myth: Wukong Cinematic,4K native,1pct-low-fps,27,fps,,TechFuelHQ first-party
